Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
10148085.0,GPT-4,22,772,794,Conversation log
9879840.0,GPT-4,176,792,968,API log
8530277.0,GPT-4,30,851,881,Conversation log
6015852.0,GPT-4,33,776,809,Conversation log
9671031.0,GPT-4,137,876,1013,Conversation log
10057776.0,GPT-4,176,822,998,API log
7464303.0,GPT-4,28,923,951,Conversation log
6040543.0,GPT-4,24,932,956,Conversation log
6866616.0,GPT-4,36,775,811,Conversation log
5868285.0,GPT-4,14,924,938,Conversation log
6890566.0,GPT-4,33,874,907,Conversation log
7114715.0,GPT-4,58,881,939,Conversation log
5320028.0,GPT-4,106,845,951,Conversation log
6694603.0,GPT-4,36,850,886,Conversation log
6712521.0,GPT-4,92,917,1009,Conversation log
6700786.0,GPT-4,17,787,804,Conversation log
5676660.0,GPT-4,57,766,823,Conversation log
10247202.0,GPT-4,51,906,957,Conversation log
7644753.0,GPT-4,25,774,799,Conversation log
7301568.0,GPT-4,152,761,913,API log
5521899.0,GPT-4,156,761,917,Conversation log
8115027.0,GPT-4,35,756,791,Conversation log
9910461.0,GPT-4,27,910,937,Conversation log
5395612.0,GPT-4,110,766,876,Conversation log
7446358.0,GPT-4,118,802,920,Conversation log
9820521.0,GPT-4,58,762,820,Conversation log
7660091.0,GPT-4,66,749,815,Conversation log
5837793.0,GPT-4,104,836,940,Conversation log
5326025.0,GPT-4,65,836,901,Conversation log
9912062.0,GPT-4,26,785,811,Conversation log
7301267.0,GPT-4,152,759,911,API log
5676560.0,GPT-4,104,812,916,Conversation log
6682327.0,GPT-4,35,787,822,Conversation log
10448003.0,GPT-4,24,781,805,Conversation log
9736062.0,GPT-4,23,899,922,Conversation log
5606174.0,GPT-4,73,876,949,Conversation log
9485201.0,GPT-4,53,821,874,Conversation log
7223870.0,GPT-4,118,862,980,Conversation log
9674040.0,GPT-4,108,847,955,Conversation log
6783735.0,GPT-4,25,948,973,Conversation log
7745285.0,GPT-4,35,777,812,Conversation log
6968643.0,GPT-4,37,968,1005,Conversation log
9577879.0,GPT-4,24,908,932,Conversation log
5653951.0,GPT-4,34,884,918,Conversation log
7917667.0,GPT-4,23,790,813,Conversation log
6539434.0,GPT-4,101,843,944,Conversation log
6532985.0,GPT-4,24,763,787,Conversation log
6819340.0,GPT-4,160,821,981,Conversation log
7075554.0,GPT-4,199,772,971,Conversation log
5815414.0,GPT-4,89,813,902,Conversation log
5429009.0,GPT-4,17,837,854,Conversation log
7321720.0,GPT-4,45,828,873,Conversation log
7814270.0,GPT-4,23,918,941,Conversation log
7383547.0,GPT-4,168,834,1002,Conversation log
7211869.0,GPT-4,14,848,862,Conversation log
6108964.0,GPT-4,64,767,831,Conversation log
7292739.0,GPT-4,53,883,936,Conversation log
8006713.0,GPT-4,72,902,974,Conversation log
5670896.0,GPT-4,19,790,809,Conversation log
6520456.0,GPT-4,19,919,938,Conversation log
5689031.0,GPT-4,93,772,865,Conversation log
9910461.0,GPT-4,27,910,937,Conversation log
6194024.0,GPT-4,155,851,1006,Conversation log
9828956.0,GPT-4,67,840,907,Conversation log
6542107.0,GPT-4,48,904,952,Conversation log
7836780.0,GPT-4,192,766,958,Conversation log
6278376.0,GPT-4,25,941,966,Conversation log
10232961.0,GPT-4,171,832,1003,Conversation log
9638935.0,GPT-4,66,820,886,Conversation log
6261319.0,GPT-4,44,909,953,Conversation log
9626785.0,GPT-4,66,799,865,Conversation log
8076981.0,GPT-4,60,799,859,Conversation log
10370157.0,GPT-4,67,874,941,Conversation log
7822056.0,GPT-4,53,874,927,Conversation log
9744631.0,GPT-4,62,893,955,Conversation log
5563642.0,GPT-4,28,854,882,Conversation log
5861431.0,GPT-4,32,856,888,Conversation log
6040543.0,GPT-4,24,932,956,Conversation log
5928300.0,GPT-4,45,938,983,Conversation log
9901996.0,GPT-4,37,807,844,Conversation log
7226355.0,GPT-4,59,940,999,Conversation log
9883821.0,GPT-4,176,761,937,API log
9632573.0,GPT-4,85,837,922,Conversation log
6289610.0,GPT-4,32,824,856,Conversation log
6526107.0,GPT-4,29,799,828,Conversation log
10068349.0,GPT-4,84,765,849,Conversation log
7316709.0,GPT-4,191,803,994,Conversation log
6949482.0,GPT-4,151,772,923,Conversation log
10164617.0,GPT-4,48,781,829,Conversation log
7396189.0,GPT-4,37,885,922,Conversation log
9625835.0,GPT-4,157,860,1017,Conversation log
7748096.0,GPT-4,21,798,819,Conversation log
7835109.0,GPT-4,191,803,994,Conversation log
9908032.0,GPT-4,31,831,862,Conversation log
5914011.0,GPT-4,79,767,846,Conversation log
9317031.0,GPT-4,28,922,950,Conversation log
5429158.0,GPT-4,81,905,986,Conversation log
10336126.0,GPT-4,33,898,931,Conversation log
7464303.0,GPT-4,28,923,951,Conversation log
5926940.0,GPT-4,58,954,1012,Conversation log
9840529.0,GPT-4,33,918,951,Conversation log
6288581.0,GPT-4,26,912,938,Conversation log
7763885.0,GPT-4,26,977,1003,Conversation log
8388353.0,GPT-4,12,957,969,Conversation log
9798330.0,GPT-4,27,898,925,Conversation log
10340681.0,GPT-4,21,985,1006,Conversation log
6783735.0,GPT-4,25,948,973,Conversation log
6726858.0,GPT-4,61,919,980,Conversation log
6037047.0,GPT-4,16,871,887,Conversation log
9885248.0,GPT-4,39,948,987,Conversation log
9759586.0,GPT-4,45,917,962,Conversation log
5997744.0,GPT-4,29,866,895,Conversation log
5992198.0,GPT-4,30,875,905,Conversation log
5856614.0,GPT-4,25,882,907,Conversation log
6968643.0,GPT-4,37,968,1005,Conversation log
10449503.0,GPT-4,44,885,929,Conversation log
7814284.0,GPT-4,24,962,986,Conversation log
9927598.0,GPT-4,20,943,963,Conversation log
9625835.0,GPT-4,157,860,1017,Conversation log
8112583.0,GPT-4,36,872,908,Conversation log
5387398.0,GPT-4,30,875,905,Conversation log
7744755.0,GPT-4,59,940,999,Conversation log
7039951.0,GPT-4,60,928,988,Conversation log
9639010.0,GPT-4,22,874,896,Conversation log
7227452.0,GPT-4,37,876,913,Conversation log
9325041.0,GPT-4,85,905,990,Conversation log
5322140.0,GPT-4,58,954,1012,Conversation log
7914589.0,GPT-4,37,885,922,Conversation log
9389371.0,GPT-4,22,906,928,Conversation log
5496251.0,GPT-4,28,940,968,Conversation log
9727275.0,GPT-4,37,877,914,Conversation log
9975580.0,GPT-4,37,964,1001,Conversation log
8553506.0,GPT-4,37,970,1007,Conversation log
5928300.0,GPT-4,45,938,983,Conversation log
9559128.0,GPT-4,25,915,940,Conversation log
6945903.0,GPT-4,28,923,951,Conversation log
9735878.0,GPT-4,25,912,937,Conversation log
9555759.0,GPT-4,111,876,987,Conversation log
6550498.0,GPT-4,32,915,947,Conversation log
6013769.0,GPT-4,64,951,1015,Conversation log
10247202.0,GPT-4,51,906,957,Conversation log
6541234.0,GPT-4,35,952,987,Conversation log
7742270.0,GPT-4,118,862,980,Conversation log
5329370.0,GPT-4,34,912,946,Conversation log
10370157.0,GPT-4,67,874,941,Conversation log
7397738.0,GPT-4,86,908,994,Conversation log
8161302.0,GPT-4,87,877,964,Conversation log
7417470.0,GPT-4,77,891,968,Conversation log
7114715.0,GPT-4,58,881,939,Conversation log
6544818.0,GPT-4,54,890,944,Conversation log
9498551.0,GPT-4,20,884,904,Conversation log
10239962.0,GPT-4,20,885,905,Conversation log
8454434.0,GPT-4,65,868,933,Conversation log
9714449.0,GPT-4,82,883,965,Conversation log
8439521.0,GPT-4,124,861,985,Conversation log
6611521.0,GPT-4,64,885,949,Conversation log
7124515.0,GPT-4,81,873,954,Conversation log
6467815.0,GPT-4,32,962,994,Conversation log
9659957.0,GPT-4,28,895,923,Conversation log
